proc       sintheta         tanbeta          Mxd          mA           ma
gg            0.1             1.0            10           1000          350
gg            0.1             1.0            10           600          200
gg            0.2             1.0            10           1000          350
gg            0.2             1.0            10           600          200
gg            0.34             1.0            10           600          200
gg            0.34             20.0            10           600          400
gg            0.35             0.5            10           600          100
gg            0.35             0.5            10           600          150
gg            0.35             0.5            10           600          200
gg            0.35             0.8            10           600          400
gg            0.35             0.8            10           600          500
gg            0.35             10.0            10           600          100
gg            0.35             10.0            10           600          150
gg            0.35             10.0            10           600          200
gg            0.35             10.0            10           600          250
gg            0.35             10.0            10           600          300
gg            0.35             10.0            10           600          400
gg            0.35             10.0            10           600          500
gg            0.35             1.0            10           1000          150
gg            0.35             1.0            10           1000          250
gg            0.35             1.0            10           1000          350
gg            0.35             1.0            10           1000          500
gg            0.35             1.0            10           1200          150
gg            0.35             1.0            10           1200          250
gg            0.35             1.0            10           1200          350
gg            0.35             1.0            10           1200          500
gg            0.35             1.0            10           1400          250
gg            0.35             1.0            10           1400          350
gg            0.35             1.0            10           1400          450
gg            0.35             1.0            10           1600          150
gg            0.35             1.0            10           1600          250
gg            0.35             1.0            10           1600          350
gg            0.35             1.0            10           200          100
gg            0.35             1.0            10           200          150
gg            0.35             1.0            10           300          100
gg            0.35             1.0            10           300          150
gg            0.35             1.0            10           400          150
gg            0.35             1.0            10           400          200
gg            0.35             1.0            10           400          250
gg            0.35             1.0            10           500          150
gg            0.35             1.0            10           500          200
gg            0.35             1.0            10           500          250
gg            0.35             1.0            10           500          300
gg            0.35             1.0            10           600          100
gg            0.35             1.0            10           600          150
gg            0.35             1.0            10           600          200
gg            0.35             1.0            10           600          250
gg            0.35             1.0            10           600          300
gg            0.35             1.0            10           600          350
gg            0.35             1.0            10           600          400
gg            0.35             1.0            10           600          500
gg            0.35             1.0            10           700          250
gg            0.35             1.0            10           700          300
gg            0.35             1.0            10           700          400
gg            0.35             1.0            10           800          250
gg            0.35             1.0            10           800          300
gg            0.35             1.0            10           800          350
gg            0.35             1.0            10           800          500
gg            0.35             1.0            10           900          300
gg            0.35             1.0            10           900          350
gg            0.35             1.0            10           900          400
gg            0.35             1.5            10           600          100
gg            0.35             1.5            10           600          150
gg            0.35             1.5            10           600          200
gg            0.35             1.5            10           600          250
gg            0.35             1.5            10           600          300
gg            0.35             1.5            10           600          350
gg            0.35             1.5            10           600          400
gg            0.35             1.5            10           600          500
gg            0.35             20.0            10           600          100
gg            0.35             20.0            10           600          150
gg            0.35             20.0            10           600          200
gg            0.35             20.0            10           600          250
gg            0.35             20.0            10           600          300
gg            0.35             20.0            10           600          350
gg            0.35             20.0            10           600          500
gg            0.35             2.0            10           600          100
gg            0.35             2.0            10           600          200
gg            0.35             2.0            10           600          250
gg            0.35             2.0            10           600          300
gg            0.35             2.0            10           600          350
gg            0.35             2.0            10           600          400
gg            0.35             2.0            10           600          500
gg            0.35             30.0            10           600          200
gg            0.35             30.0            10           600          250
gg            0.35             30.0            10           600          300
gg            0.35             30.0            10           600          350
gg            0.35             30.0            10           600          400
gg            0.35             30.0            10           600          500
gg            0.35             40.0            10           600          100
gg            0.35             40.0            10           600          150
gg            0.35             40.0            10           600          250
gg            0.35             40.0            10           600          300
gg            0.35             40.0            10           600          350
gg            0.35             40.0            10           600          400
gg            0.35             40.0            10           600          500
gg            0.35             4.0            10           600          100
gg            0.35             4.0            10           600          150
gg            0.35             4.0            10           600          200
gg            0.35             4.0            10           600          300
gg            0.35             4.0            10           600          350
gg            0.35             4.0            10           600          400
gg            0.35             4.0            10           600          500
gg            0.35             50.0            10           600          100
gg            0.35             50.0            10           600          150
gg            0.35             50.0            10           600          200
gg            0.35             50.0            10           600          250
gg            0.35             50.0            10           600          300
gg            0.35             50.0            10           600          350
gg            0.35             50.0            10           600          500
gg            0.35             6.0            10           600          100
gg            0.35             6.0            10           600          150
gg            0.35             6.0            10           600          200
gg            0.35             6.0            10           600          250
gg            0.35             6.0            10           600          300
gg            0.35             6.0            10           600          400
gg            0.35             6.0            10           600          500
gg            0.35             8.0            10           600          100
gg            0.35             8.0            10           600          150
gg            0.35             8.0            10           600          200
gg            0.35             8.0            10           600          300
gg            0.35             8.0            10           600          350
gg            0.35             8.0            10           600          400
gg            0.35             8.0            10           600          500
gg            0.3             1.0            10           1000          350
gg            0.3             1.0            10           600          200
gg            0.4             1.0            10           1000          350
gg            0.4             1.0            10           600          200
gg            0.6             1.0            10           600          200
gg            0.7             1.0            10           1000          350
gg            0.7             1.0            10           600          200
gg            0.8             1.0            10           1000          350
gg            0.8             1.0            10           600          200
gg            0.9             1.0            10           600          200
gg            0.35             1.0            10           800          150
gg            0.5             1.0            10           600          200
gg            0.35             0.5            10           300          150
gg            0.35             0.5            10           300          250
gg            0.35             1.0            10           300          250
gg            0.35             1.0            10           400          350
gg            0.35             1.0            10           500          350
gg            0.35             2.0            10           300          150
gg            0.35             2.0            10           300          250
gg            0.35             4.0            10           300          150
gg            0.35             4.0            10           300          250
gg            0.35             8.0            10           300          150
gg            0.35             8.0            10           300          250
gg            0.7             0.5            10           300          150
gg            0.7             1.0            10           300          150
gg            0.7             1.5            10           300          150
gg            0.7             2.0            10           300          150
gg            0.7             4.0            10           300          150
gg            0.7             8.0            10           300          150
gg            0.35             1.0            10           400          100
gg            0.35             1.0            10           700          350
gg            0.35             2.0            10           600          150
gg            0.35             30.0            10           600          100
gg            0.35             30.0            10           600          150
gg            0.35             40.0            10           600          200
gg            0.35             0.5            10           600          400
gg            0.35             1.0            10           1400          150
gg            0.35             8.0            10           600          250
